GeneSymbol	Human	Chimpanzee	Pigtailed_macaque	Japanese_macaque	Rhesus_macaque	Cynomolgous_Mauritian	Cynomolgous_Chinese	Baboon	Sooty_mangabey	Marmoset	Squirrel_monkey	Mouse_lemur
A1BG	60	4	4	4	0	2	8	10	4	0	0	0
A1BG-AS1	25	2	0	0	0	0	0	0	0	0	0	0
A1CF	63	2	4	12	4	4	0	0	0	0	0	8
A2M	101667	4078	4458	2522	1874	1936	3222	6196	7840	4300	1648	106
A2M-AS1	709	24	10	14	10	14	4	10	6	0	0	0
A2ML1	0	2	0	10	2	0	0	0	0	0	0	0
A2MP1	0	2	10	0	0	0	0	0	2	0	0	0
A4GALT	4736	198	42	94	40	76	132	114	164	78	46	106
A4GNT	0	0	0	2	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	7070	274	1014	1878	328	994	772	2186	1218	204	120	426
AACS	1462	344	236	200	122	154	184	490	438	332	74	30
AACSP1	0	0	0	0	0	0	0	4	2	0	2	0
AADAC	0	0	4	0	8	4	0	0	0	0	4	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	2	0	0	0	0	0	0	2	0	0
AADACL4	0	0	0	0	0	0	0	0	14	8	0	0
AADAT	52	32	56	48	42	58	60	54	40	318	266	12
AAED1	7222	226	590	370	198	494	400	576	746	340	412	938
AAGAB	14801	742	2604	2468	902	1166	2062	1478	2000	408	638	1820
AAK1	17019	2018	2256	1598	682	906	1782	2580	1854	1184	742	658
AAMDC	3761	1540	1686	1378	608	556	1154	1042	264	498	312	364
AAMP	16956	1190	3102	2616	1530	2274	2886	2874	2654	1616	1012	4216
AANAT	30	0	2	0	0	0	4	0	0	0	28	0
AAR2	8185	252	346	368	200	338	412	400	982	148	128	240
AARD	0	6	2	0	0	0	0	0	2	0	0	0
AARS	131789	2400	2708	3096	2134	3048	4422	4918	3760	4198	7932	7786
AARS2	2576	182	1492	796	462	628	934	764	518	282	304	440
AARSD1	3875	30	20	44	28	28	54	20	28	10	62	2
AASDH	1641	320	460	604	324	386	494	650	388	588	362	194
AASDHPPT	12387	1802	2062	1572	672	1320	1542	2712	1980	302	154	1790
